,number,species,lon,lat
720,F_abacura_DBN42,Farancia abacura,-96.215295,30.838957
721,F_abacura_DBN45,Farancia abacura,-95.865383,29.874228
722,F_abacura_DL1091,Farancia abacura,-96.55230556,28.46958333
723,F_abacura_FTB1630,Farancia abacura,-85.374549,29.911209
724,F_abacura_FTB2096,Farancia abacura,-76.98554,34.95828
725,F_abacura_FTB2132,Farancia abacura,-86.40119,31.46696
726,F_abacura_FTB2197,Farancia abacura,-85.33681,30.94059
727,F_abacura_FTB2262,Farancia abacura,-92.75793,34.77998
728,F_abacura_FTB3022,Farancia abacura,-81.845686,32.415436
729,F_abacura_FTB3026,Farancia abacura,-82.57548,31.87025
730,F_abacura_FTB3312,Farancia abacura,-82.45978,30.28575
731,F_abacura_FTB3401,Farancia abacura,-83.57597,29.97285
732,F_abacura_FTB3495,Farancia abacura,-82.03402,31.47405
733,F_abacura_FTB3572,Farancia abacura,-84.33466,30.41433
734,F_abacura_FTB3580,Farancia abacura,-84.53688,30.36275
735,F_abacura_FTB3606,Farancia abacura,-84.97648,29.94561
736,F_abacura_FTB3619,Farancia abacura,-84.84399,30.27847
737,F_abacura_FTB3630,Farancia abacura,-84.72198,30.17064
738,F_abacura_FTB3658,Farancia abacura,-85.24169,30.28521
739,F_abacura_FTB374,Farancia abacura,-78.531015,34.963115
740,F_abacura_FTB3776,Farancia abacura,-83.82196,31.59575
741,F_abacura_GRC5017,Farancia abacura,-90.35955,32.33098
742,F_abacura_H14727,Farancia abacura,-92.706101,30.247084
743,F_abacura_H19768,Farancia abacura,-91.10831,30.315477
744,F_abacura_H21088,Farancia abacura,-92.509117,31.178418
745,F_abacura_H21430,Farancia abacura,-91.030035,29.913237
746,F_abacura_H2902,Farancia abacura,-90.394669,29.782034
747,F_abacura_HERPET155381,Farancia abacura,-82.30195,29.604339
748,F_abacura_HERPET155400,Farancia abacura,-82.2218,29.5173
749,F_abacura_HERPET155816,Farancia abacura,-82.09087,29.71172
750,F_abacura_HERPET169820,Farancia abacura,-81.395,25.9188
751,F_abacura_JDW_FA186,Farancia abacura,-81.42828,33.10714
752,F_abacura_JDW_FA69,Farancia abacura,-81.746185,33.250192
753,F_abacura_JDW_FA78,Farancia abacura,-81.746185,33.250192
754,F_abacura_NCSM78287,Farancia abacura,-77.7071,34.3708
755,F_abacura_NCSM79427,Farancia abacura,-78.6138,34.2475
756,F_abacura_NCSM84702,Farancia abacura,-79.5543,35.07
757,F_abacura_NCSM86518,Farancia abacura,-75.8824,35.8543
758,F_abacura_OCGR9906,Farancia abacura,-94.642258,33.745863
758,FTB1171,Lampropeltis triangulum,-76.51,44.44
758,Lt1,Lampropeltis triangulum,-85.64,34.35
758,Lt2,Lampropeltis triangulum,-85.61,34.39
758,Lt3,Lampropeltis triangulum,-85.65,34.35
758,AUHT-3018,Lampropeltis triangulum,-87.41,34.28
758,YP13969,Lampropeltis triangulum,-73.12,41.26
758,FTB1525,Lampropeltis triangulum,-87.45,40.92
758,FTB1512,Lampropeltis triangulum,-90.55,39.01
758,FTB1513,Lampropeltis triangulum,-90.55,39.01
758,FTB1519,Lampropeltis triangulum,-90.49,38.97
758,FTB1524,Lampropeltis triangulum,-87.62,41.07
758,FTB1522,Lampropeltis triangulum,-90.2,38.16
758,FTB1523,Lampropeltis triangulum,-89.31,41.28
758,FTB1521,Lampropeltis triangulum,-89.42,38.35
758,FTB1646,Lampropeltis triangulum,-84.9,39.07
758,FTB1585,Lampropeltis triangulum,-86.28,40.76
758,FTB1793,Lampropeltis triangulum,-84.95,39.47
758,FTB1582,Lampropeltis triangulum,-87.39,41.61
758,FTB1584,Lampropeltis triangulum,-87.39,41.61
758,FTB1583,Lampropeltis triangulum,-86.62,41.72
758,FTB1579,Lampropeltis triangulum,-94.05,41.37
758,JTC2522,Lampropeltis triangulum,-88.87,36.73
758,MHP9886,Lampropeltis triangulum,-88.72,36.58
758,MHP9887,Lampropeltis triangulum,-83.61,37.94
758,FTB1587,Lampropeltis triangulum,-83.71,37.48
758,FTB1705,Lampropeltis triangulum,-90.89,30.35
758,FTB1678,Lampropeltis triangulum,-92.04,31.52
758,FTB1680,Lampropeltis triangulum,-92.05,31.39
758,FTB1634,Lampropeltis triangulum,-76.59,39.44
758,FTB1637,Lampropeltis triangulum,-76.59,39.44
758,FTB1640,Lampropeltis triangulum,-76.68,39.67
758,FTB1829,Lampropeltis triangulum,-72.65,42.19
758,FTB1580,Lampropeltis triangulum,-91.94,44.07
758,FTB1581,Lampropeltis triangulum,-91.94,44.07
758,FTB2229,Lampropeltis triangulum,-90.75,37.55
758,FTB1839,Lampropeltis triangulum,-94.29,39.05
758,FTB1983,Lampropeltis triangulum,-90.92,36.73
758,FTB2231,Lampropeltis triangulum,-91.48,37.2
758,FTB2232,Lampropeltis triangulum,-91.48,37.2
758,FTB1804,Lampropeltis triangulum,-74.54,39.92
758,SR456,Lampropeltis triangulum,-74.5,39.83
758,FTB1638,Lampropeltis triangulum,-74.95,40.56
758,FTB952,Lampropeltis triangulum,-74.42,39.88
758,FTB1000,Lampropeltis triangulum,-74.03,42.46
758,FTB551,Lampropeltis triangulum,-74.79,42.2
758,FTB949,Lampropeltis triangulum,-74.14,41.79
758,FTB2410,Lampropeltis triangulum,-74.18,40.53
758,FTB444,Lampropeltis triangulum,-73.38,40.75
758,FTB1840,Lampropeltis triangulum,-75.06,41.84
758,FTB1697,Lampropeltis triangulum,-76.46,42.59
758,FTB1636,Lampropeltis triangulum,-83.92,35.36
758,DBS2504,Lampropeltis triangulum,-82.58,35.9
758,FTB2297,Lampropeltis triangulum,-81.43,39.75
758,FTB2299,Lampropeltis triangulum,-81.5,40.53
758,FTB2298,Lampropeltis triangulum,-82.74,39.47
758,FTB1973,Lampropeltis triangulum,-75.6,41.41
758,FTB1815,Lampropeltis triangulum,-75.51,40.48
758,DBS2486,Lampropeltis triangulum,-82.4,35.18
758,FTB1647,Lampropeltis triangulum,-84.18,35.35
758,MHP9876,Lampropeltis triangulum,-89.33,36.37
758,FTB1639,Lampropeltis triangulum,-78.36,38.99
758,FTB563,Lampropeltis triangulum,-78.63,38.87
758,FTB728,Lampropeltis triangulum,-79.53,39.02
758,FTB647,Lampropeltis triangulum,-90.92,43.18
758,FTB1984,Lampropeltis triangulum,-90.07,42.94
758,FTB1687,Lampropeltis triangulum,-88.63,42.63
758,FTB1817,Lampropeltis gentilis,-109.75,31.88
758,FTB1967,Lampropeltis gentilis,-111.03,35.07
758,FTB1971,Lampropeltis gentilis,-112.97,35.3
758,DBS2052,Lampropeltis gentilis,-93.92,34.41
758,DBS531,Lampropeltis gentilis,-93.98,34.43
758,DBS622,Lampropeltis gentilis,-94.02,34.44
758,FTB1632,Lampropeltis gentilis,-92.39,34.75
758,FTB1527,Lampropeltis gentilis,-92.66,34.64
758,FTB2078,Lampropeltis gentilis,-108.62,38.96
758,MHP9699,Lampropeltis gentilis,-95.15,38.26
758,MHP7991,Lampropeltis gentilis,-95.11,39.26
758,MHP8310,Lampropeltis gentilis,-94.78,38.19
758,MHP8504,Lampropeltis gentilis,-101.34,38.77
758,MHP8275,Lampropeltis gentilis,-99.62,38.45
758,MHP8496,Lampropeltis gentilis,-99.75,38.29
758,MHP7910,Lampropeltis gentilis,-99.16,38.7
758,MHP8549,Lampropeltis gentilis,-98.88,38.97
758,SRSU6564,Lampropeltis gentilis,-98.76,38.92
758,MHP8838,Lampropeltis gentilis,-96.87,39.61
758,FTB1696,Lampropeltis gentilis,-90.89,30.35
758,FTB1704,Lampropeltis gentilis,-90.89,30.35
758,FTB3987,Lampropeltis gentilis,-91.48,32.19
758,FTB3988,Lampropeltis gentilis,-91.48,32.19
758,FTB1516,Lampropeltis gentilis,-93.65,30.15
758,FTB1683,Lampropeltis gentilis,-91.09,30.31
758,FTB1690,Lampropeltis gentilis,-91.5,30.48
758,FTB1700,Lampropeltis gentilis,-90.1,29.75
758,FTB1707,Lampropeltis gentilis,-90.14,29.75
758,FTB1605,Lampropeltis gentilis,-93.09,31.76
758,FTB3986,Lampropeltis gentilis,-91.69,30.47
758,FTB1706,Lampropeltis gentilis,-90.75,30.06
758,FTB1688,Lampropeltis gentilis,-90.09,30.83
758,LJV10753,Lampropeltis gentilis,-108.94,45.22
758,LJV10782,Lampropeltis gentilis,-108.51,46.02
758,SRSU6575,Lampropeltis gentilis,-101.56,42.5
758,FTB1518,Lampropeltis gentilis,-102.42,41.75
758,FTB1653,Lampropeltis gentilis,-114.3,40.33
758,FTB1806,Lampropeltis gentilis,-106.03,34.6
758,FTB1807,Lampropeltis gentilis,-106.05,35
758,DBS1304,Lampropeltis gentilis,-96.02,34.51
758,DBS1349,Lampropeltis gentilis,-95.94,34.54
758,DBS1387,Lampropeltis gentilis,-95.83,34.41
758,LJV10693,Lampropeltis gentilis,-95.92,34.33
758,LJV10694,Lampropeltis gentilis,-95.92,34.33
758,DBS1805,Lampropeltis gentilis,-95.94,34.54
758,TJC29,Lampropeltis gentilis,-94.83,35.7
758,DBS1535,Lampropeltis gentilis,-94.53,34.69
758,DBS532,Lampropeltis gentilis,-94.49,34.62
758,FTB1689,Lampropeltis gentilis,-94.91,33.89
758,DBS76,Lampropeltis gentilis,-95.14,35.75
758,LJV9335,Lampropeltis gentilis,-95.22,35.71
758,DBS1452,Lampropeltis gentilis,-95.39,34.63
758,YP13949,Lampropeltis gentilis,-95.35,34.59
758,FTB1685,Lampropeltis gentilis,-95.67,36.47
758,FTB1643,Lampropeltis gentilis,-94.58,35.63
758,MHP8727,Lampropeltis gentilis,-103.38,43.64
758,FTB1805,Lampropeltis gentilis,-96.2,30.49
758,FTB1798,Lampropeltis gentilis,-96.63,30.52
758,FTB1532,Lampropeltis gentilis,-99.41,31.92
758,FTB1534,Lampropeltis gentilis,-99.42,32.08
758,FTB1797,Lampropeltis gentilis,-95.97,30.61
758,SRSU6519,Lampropeltis gentilis,-103.88,30.57
758,CLC698,Lampropeltis gentilis,-98.58,28.43
758,FTB1796,Lampropeltis gentilis,-95.16,30.61
758,FTB1794,Lampropeltis elapsoides,-87.36,32.93
758,FTB1795,Lampropeltis elapsoides,-87.43,32.98
758,FTB1756,Lampropeltis elapsoides,-85.55,33.7
758,AUHT-4692,Lampropeltis elapsoides,-86.69,31.12
758,AUHT-4402,Lampropeltis elapsoides,-88.27,32.36
758,FTB1595,Lampropeltis elapsoides,-82.38,29.55
758,FTB1593,Lampropeltis elapsoides,-85.02,30.44
758,FTB1309,Lampropeltis elapsoides,-82.3,28.9
758,FTB1310,Lampropeltis elapsoides,-84.77,30.53
758,FTB1610,Lampropeltis elapsoides,-82.63,29.66
758,FTB797,Lampropeltis elapsoides,-85.29,29.71
758,FTB1615,Lampropeltis elapsoides,-80.98,26.62
758,FTB1578,Lampropeltis elapsoides,-81.36,27.29
758,FTB1599,Lampropeltis elapsoides,-83.17,29.94
758,FTB1591,Lampropeltis elapsoides,-84.23,30.48
758,FTB1609,Lampropeltis elapsoides,-82.71,29.16
758,FTB1592,Lampropeltis elapsoides,-84.86,30.26
758,FTB1588,Lampropeltis elapsoides,-82.48,27.62
758,FTB1590,Lampropeltis elapsoides,-82.47,27.6
758,FTB1594,Lampropeltis elapsoides,-82.48,27.62
758,FTB1606,Lampropeltis elapsoides,-82.48,27.62
758,FTB1607,Lampropeltis elapsoides,-82.48,27.62
758,FTB1608,Lampropeltis elapsoides,-82.48,27.62
758,FTB1598,Lampropeltis elapsoides,-80.16,25.67
758,FTB1612,Lampropeltis elapsoides,-80.16,25.67
758,AUHT-4223,Lampropeltis elapsoides,-83.92,30.18
758,FTB1604,Lampropeltis elapsoides,-81.86,28.32
758,FTB1681,Lampropeltis elapsoides,-86.89,30.67
758,FTB1692,Lampropeltis elapsoides,-86.92,30.82
758,FTB1695,Lampropeltis elapsoides,-86.85,30.76
758,FTB1701,Lampropeltis elapsoides,-86.83,30.86
758,FTB1601,Lampropeltis elapsoides,-84.35,30.11
758,FTB1645,Lampropeltis elapsoides,-81.35,32.57
758,FTB1311,Lampropeltis elapsoides,-83.13,30.7
758,MHP9851,Lampropeltis elapsoides,-88.14,36.91
758,FTB1679,Lampropeltis elapsoides,-89.94,30.52
758,FTB1699,Lampropeltis elapsoides,-89.81,30.32
758,FTB1703,Lampropeltis elapsoides,-90.09,30.41
758,FTB1676,Lampropeltis elapsoides,-90.4,30.72
758,FTB1702,Lampropeltis elapsoides,-91.55,30.97
758,FTB1611,Lampropeltis elapsoides,-88.99,30.92
758,FTB1693,Lampropeltis elapsoides,-88.91,30.85
758,FTB1691,Lampropeltis elapsoides,-91.3,31.15
758,FTB1641,Lampropeltis elapsoides,-78.28,34.07
758,FTB2109,Lampropeltis elapsoides,-76.96,34.77
758,FTB1642,Lampropeltis elapsoides,-77.5,35.22
758,FTB1978,Lampropeltis elapsoides,-79.47,35.37
758,FTB1754,Lampropeltis elapsoides,-79.77,34.99
758,FTB1976,Lampropeltis elapsoides,-79.47,34.85
758,MHP9868,Lampropeltis elapsoides,-81.74,33.34
758,FTB1974,Lampropeltis elapsoides,-80.24,34.58
758,FTB1755,Lampropeltis elapsoides,-80.27,32.95
758,FTB1977,Lampropeltis elapsoides,-80.54,33.17
758,FTB1644,Lampropeltis elapsoides,-81.2,32.49
758,UANL6337,Lampropeltis annulata,-100.48,25.96
758,RH011,Lampropeltis annulata,-99.47,21.21
758,RH013,Lampropeltis annulata,-99.47,21.21
758,UANL6780,Lampropeltis annulata,-99.5,21.23
758,FTB1819,Lampropeltis annulata,-98.07,22.92
758,UANLUnc43,Lampropeltis annulata,-100.04,24.73
