,number,species,lon,lat
258,FHSM9106,Lampropeltis gentilis/triangulum,-103.37629,43.64069
259,FHSM9682,Lampropeltis gentilis/triangulum,-99.27821,39.37635
260,FHSM9875,Lampropeltis triangulum,-80.47444,41.94583
261,FHSM9877,Lampropeltis triangulum,-83.663471,37.835705
262,FHSM10987,Lampropeltis gentilis/triangulum,-94.98799,38.01006
263,FHSM11518,Lampropeltis gentilis/triangulum,-100.77979,37.13217
264,FHSM12850,Lampropeltis gentilis/triangulum,-96.08822,39.31814
265,FHSM12878,Lampropeltis gentilis/triangulum,-99.16041,37.42882
266,DBS2776,Agkistrodon contortrix,-89.0244,30.93559
267,DBS2432,Diadophis punctatus,-83.13433,35.01798
268,DBS2706,Lampropeltis holbrooki,-94.27754,34.65125
269,DBS2766,Lampropeltis holbrooki,-91.82035,33.74041
270,DBS2868,Lampropeltis holbrooki,-92.35149,32.54999
1100,AMCC267452,Agkistrodon contortrix,-81.11814,32.37906
2100,AMCC267447,Agkistrodon contortrix,-82.34031,34.10622
3100,AMCC267453,Agkistrodon contortrix,-81.39377,32.5542
4100,AMCC267454,Agkistrodon contortrix,-81.49475,32.14022
5100,AMCC267455,Agkistrodon contortrix,-81.49404,32.14259
698,AMCC267531,Agkistrodon contortrix,-83.29212,32.08615
710,AMCC267536,Agkistrodon contortrix,-83.80806,31.70131
810,AMCC267456,Agkistrodon contortrix,-85.41798,32.42209
910,AMCC267459,Agkistrodon contortrix,-89.56625,32.41824
1010,AMCC267462,Agkistrodon contortrix,-74.18727,41.73719
1110,AMCC267445,Agkistrodon contortrix,-77.01203,34.90561
1210,AMCC267446,Agkistrodon contortrix,-82.23947,34.10622
1310,AMCC267448,Agkistrodon contortrix,-88.0255,31.00186
1410,AMCC267449,Agkistrodon contortrix,-81.63572,34.66786
1510,AMCC267450,Agkistrodon contortrix,-85.41158,32.40397
1610,AMCC267457,Agkistrodon contortrix,-87.31129,32.9192
1710,AMCC267458,Agkistrodon contortrix,-89.30668,34.55498
1810,AMCC267460,Agkistrodon contortrix,-85.79623,33.47527
1910,AMCC267461,Agkistrodon contortrix,-81.69348,34.65662
2010,AMCC267463,Agkistrodon contortrix,-84.477169,31.221356
2110,AMCC267464,Agkistrodon contortrix,-84.477169,31.221356
2210,AMCC267465,Agkistrodon contortrix,-84.477169,31.221356
2410,AMCC267466,Agkistrodon contortrix,-84.477169,31.221356
2510,AMCC267467,Agkistrodon contortrix,-84.477169,31.221356
2610,AMCC267468,Agkistrodon contortrix,-84.477169,31.221356
2810,AMCC267469,Agkistrodon contortrix,-84.477169,31.221356
2910,AMCC267470,Agkistrodon contortrix,-84.477169,31.221356
3010,AMCC267471,Agkistrodon contortrix,-84.477169,31.221356
31,AMCC267472,Agkistrodon contortrix,-84.477169,31.221356
32,AMCC267473,Agkistrodon contortrix,-84.477169,31.221356
33,AMCC267474,Agkistrodon contortrix,-84.477169,31.221356
34,AMCC267475,Agkistrodon contortrix,-84.477169,31.221356
35,AMCC267476,Agkistrodon contortrix,-84.477169,31.221356
36,AMCC267477,Agkistrodon contortrix,-84.477169,31.221356
